ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,LineNUM
NM,35,New Mexico,CO,8,Colorado,487
CO,8,Colorado,NM,35,New Mexico,488
CO,8,Colorado,TX,48,Texas,489
TX,48,Texas,CO,8,Colorado,490
CO,8,Colorado,WA,53,Washington,491
CO,8,Colorado,MT,30,Montana,492
CO,8,Colorado,MN,27,Minnesota,493
CO,8,Colorado,MO,29,Missouri,494
CO,8,Colorado,CA,6,California,495
WA,53,Washington,CO,8,Colorado,496
CA,6,California,CO,8,Colorado,497
MO,29,Missouri,CO,8,Colorado,498
MT,30,Montana,CO,8,Colorado,499
MN,27,Minnesota,CO,8,Colorado,500
NE,31,Nebraska,CO,8,Colorado,501
MO,29,Missouri,CO,8,Colorado,502
GA,13,Georgia,CO,8,Colorado,503
MT,30,Montana,CO,8,Colorado,504
IA,19,Iowa,CO,8,Colorado,505
OH,39,Ohio,CO,8,Colorado,506
OH,39,Ohio,CO,8,Colorado,507
KY,21,Kentucky,CO,8,Colorado,508
CO,8,Colorado,ID,16,Idaho,509
CO,8,Colorado,MT,30,Montana,510
CO,8,Colorado,NC,37,North Carolina,511
CO,8,Colorado,OH,39,Ohio,512
CO,8,Colorado,OH,39,Ohio,513
CO,8,Colorado,OR,41,Oregon,514
CO,8,Colorado,MT,30,Montana,515
CO,8,Colorado,HI,15,Hawaii,516
CO,8,Colorado,WI,55,Wisconsin,517
CO,8,Colorado,LA,22,Louisiana,518
CO,8,Colorado,PA,42,Pennsylvania,519
CO,8,Colorado,PA,42,Pennsylvania,520
CO,8,Colorado,NV,32,Nevada,521
CO,8,Colorado,CA,6,California,522
MI,26,Michigan,CO,8,Colorado,523
MT,30,Montana,CO,8,Colorado,524
HI,15,Hawaii,CO,8,Colorado,525
WI,55,Wisconsin,CO,8,Colorado,526
NV,32,Nevada,CO,8,Colorado,527
NM,35,New Mexico,CO,8,Colorado,528
SC,45,South Carolina,CO,8,Colorado,529
CO,8,Colorado,TX,48,Texas,530
CO,8,Colorado,VA,51,Virginia,531
CO,8,Colorado,CA,6,California,532
CO,8,Colorado,TX,48,Texas,533
CO,8,Colorado,CA,6,California,534
WI,55,Wisconsin,CO,8,Colorado,535
MN,27,Minnesota,CO,8,Colorado,536
VA,51,Virginia,CO,8,Colorado,537
TX,48,Texas,CO,8,Colorado,538
UT,49,Utah,CO,8,Colorado,539
AZ,4,Arizona,CO,8,Colorado,540
CO,8,Colorado,IN,18,Indiana,541
CO,8,Colorado,TX,48,Texas,542
TX,48,Texas,CO,8,Colorado,543
UT,49,Utah,CO,8,Colorado,544
CO,8,Colorado,WI,55,Wisconsin,545
CO,8,Colorado,CA,6,California,546
WI,55,Wisconsin,CO,8,Colorado,547
CA,6,California,CO,8,Colorado,548
CO,8,Colorado,MN,27,Minnesota,549
CO,8,Colorado,KS,20,Kansas,550
KS,20,Kansas,CO,8,Colorado,551
CO,8,Colorado,IL,17,Illinois,552
IL,17,Illinois,CO,8,Colorado,553
CO,8,Colorado,CA,6,California,554
CO,8,Colorado,KY,21,Kentucky,555
CO,8,Colorado,UT,49,Utah,556
UT,49,Utah,CO,8,Colorado,557
CO,8,Colorado,IA,19,Iowa,558
CO,8,Colorado,IN,18,Indiana,559
IN,18,Indiana,CO,8,Colorado,560
MT,30,Montana,CO,8,Colorado,561
CO,8,Colorado,GA,13,Georgia,562
CO,8,Colorado,MT,30,Montana,563
CO,8,Colorado,OH,39,Ohio,564
CO,8,Colorado,CO,8,Colorado,565
CO,8,Colorado,MT,30,Montana,566
CO,8,Colorado,KS,20,Kansas,567
CO,8,Colorado,MO,29,Missouri,568
CO,8,Colorado,TN,47,Tennessee,569
CO,8,Colorado,ND,38,North Dakota,570
CO,8,Colorado,NE,31,Nebraska,571
CO,8,Colorado,CA,6,California,572
CO,8,Colorado,CO,8,Colorado,573
MO,29,Missouri,CO,8,Colorado,574
TN,47,Tennessee,CO,8,Colorado,575
CA,6,California,CO,8,Colorado,576
UT,49,Utah,CO,8,Colorado,577
ID,16,Idaho,CO,8,Colorado,578
NC,37,North Carolina,CO,8,Colorado,579
CO,8,Colorado,MD,24,Maryland,580
CO,8,Colorado,IA,19,Iowa,581
CO,8,Colorado,NC,37,North Carolina,582
CO,8,Colorado,KY,21,Kentucky,583
CO,8,Colorado,NJ,34,New Jersey,584
CO,8,Colorado,WA,53,Washington,585
CO,8,Colorado,OR,41,Oregon,586
CO,8,Colorado,CA,6,California,587
CO,8,Colorado,CA,6,California,588
CO,8,Colorado,CA,6,California,589
CO,8,Colorado,AZ,4,Arizona,590
FL,12,Florida,CO,8,Colorado,591
WA,53,Washington,CO,8,Colorado,592
MO,29,Missouri,CO,8,Colorado,593
OK,40,Oklahoma,CO,8,Colorado,594
CA,6,California,CO,8,Colorado,595
OR,41,Oregon,CO,8,Colorado,596
WA,53,Washington,CO,8,Colorado,597
CA,6,California,CO,8,Colorado,598
AZ,4,Arizona,CO,8,Colorado,599
TN,47,Tennessee,CO,8,Colorado,600
CO,8,Colorado,CA,6,California,601
CO,8,Colorado,MN,27,Minnesota,602
CO,8,Colorado,MO,29,Missouri,603
TX,48,Texas,CO,8,Colorado,604
CA,6,California,CO,8,Colorado,605
OK,40,Oklahoma,CO,8,Colorado,606
PA,42,Pennsylvania,CO,8,Colorado,607
MO,29,Missouri,CO,8,Colorado,608
MO,29,Missouri,CO,8,Colorado,609
CO,8,Colorado,AZ,4,Arizona,610
AZ,4,Arizona,CO,8,Colorado,611
MN,27,Minnesota,CO,8,Colorado,612
CO,8,Colorado,IA,19,Iowa,613
WY,56,Wyoming,CO,8,Colorado,614
CO,8,Colorado,WY,56,Wyoming,615
CO,8,Colorado,TN,47,Tennessee,616
MN,27,Minnesota,CO,8,Colorado,617
CO,8,Colorado,IL,17,Illinois,618
IL,17,Illinois,CO,8,Colorado,619
GA,13,Georgia,CO,8,Colorado,620
OH,39,Ohio,CO,8,Colorado,621
CO,8,Colorado,CA,6,California,622
CO,8,Colorado,NC,37,North Carolina,623
CO,8,Colorado,OR,41,Oregon,624
CO,8,Colorado,OR,41,Oregon,625
IA,19,Iowa,CO,8,Colorado,626
MT,30,Montana,CO,8,Colorado,627
KS,20,Kansas,CO,8,Colorado,628
TN,47,Tennessee,CO,8,Colorado,629
ND,38,North Dakota,CO,8,Colorado,630
OR,41,Oregon,CO,8,Colorado,631
OR,41,Oregon,CO,8,Colorado,632
CA,6,California,CO,8,Colorado,633
OK,40,Oklahoma,CO,8,Colorado,634
AZ,4,Arizona,CO,8,Colorado,635
TX,48,Texas,CO,8,Colorado,636
CO,8,Colorado,MI,26,Michigan,637
CO,8,Colorado,MI,26,Michigan,638
CO,8,Colorado,IN,18,Indiana,639
CO,8,Colorado,MO,29,Missouri,640
CO,8,Colorado,WI,55,Wisconsin,641
CO,8,Colorado,LA,22,Louisiana,642
NJ,34,New Jersey,CO,8,Colorado,643
IN,18,Indiana,CO,8,Colorado,644
IN,18,Indiana,CO,8,Colorado,645
OR,41,Oregon,CO,8,Colorado,646
WI,55,Wisconsin,CO,8,Colorado,647
PA,42,Pennsylvania,CO,8,Colorado,648
CO,8,Colorado,FL,12,Florida,649
CO,8,Colorado,FL,12,Florida,650
CO,8,Colorado,MO,29,Missouri,651
CO,8,Colorado,CA,6,California,652
CO,8,Colorado,OK,40,Oklahoma,653
FL,12,Florida,CO,8,Colorado,654
CA,6,California,CO,8,Colorado,655
UT,49,Utah,CO,8,Colorado,656
GA,13,Georgia,CO,8,Colorado,657
CO,8,Colorado,GA,13,Georgia,658
CO,8,Colorado,TX,48,Texas,659
CO,8,Colorado,NE,31,Nebraska,660
CO,8,Colorado,KY,21,Kentucky,661
CO,8,Colorado,CO,8,Colorado,662
CO,8,Colorado,TN,47,Tennessee,663
CO,8,Colorado,TN,47,Tennessee,664
CO,8,Colorado,CO,8,Colorado,665
TN,47,Tennessee,CO,8,Colorado,666
CO,8,Colorado,SD,46,South Dakota,667
CO,8,Colorado,NV,32,Nevada,668
NV,32,Nevada,CO,8,Colorado,669
CO,8,Colorado,TN,47,Tennessee,670
TN,47,Tennessee,CO,8,Colorado,671
TX,48,Texas,CO,8,Colorado,672
CA,6,California,CO,8,Colorado,673
NC,37,North Carolina,CO,8,Colorado,674
CO,8,Colorado,CO,8,Colorado,675
CO,8,Colorado,VA,51,Virginia,676
VA,51,Virginia,CO,8,Colorado,677
MT,30,Montana,CO,8,Colorado,678
ID,16,Idaho,CO,8,Colorado,679
CA,6,California,CO,8,Colorado,680
CO,8,Colorado,MT,30,Montana,681
CO,8,Colorado,ID,16,Idaho,682
CO,8,Colorado,CA,6,California,683
CO,8,Colorado,IA,19,Iowa,684
CO,8,Colorado,OR,41,Oregon,685
CO,8,Colorado,OR,41,Oregon,686
CO,8,Colorado,WI,55,Wisconsin,687
CO,8,Colorado,OK,40,Oklahoma,688
CO,8,Colorado,PA,42,Pennsylvania,689
CO,8,Colorado,UT,49,Utah,690
IA,19,Iowa,CO,8,Colorado,691
OR,41,Oregon,CO,8,Colorado,692
MO,29,Missouri,CO,8,Colorado,693
WI,55,Wisconsin,CO,8,Colorado,694
PA,42,Pennsylvania,CO,8,Colorado,695
PA,42,Pennsylvania,CO,8,Colorado,696
OK,40,Oklahoma,CO,8,Colorado,697
TX,48,Texas,CO,8,Colorado,698
OH,39,Ohio,CO,8,Colorado,699
CO,8,Colorado,NJ,34,New Jersey,700
CO,8,Colorado,FL,12,Florida,701
CO,8,Colorado,NC,37,North Carolina,702
FL,12,Florida,CO,8,Colorado,703
OK,40,Oklahoma,CO,8,Colorado,704
IA,19,Iowa,CO,8,Colorado,705
CO,8,Colorado,CO,8,Colorado,706
SD,46,South Dakota,CO,8,Colorado,707
CO,8,Colorado,KY,21,Kentucky,708
KY,21,Kentucky,CO,8,Colorado,709
CO,8,Colorado,AZ,4,Arizona,710
AZ,4,Arizona,CO,8,Colorado,711
CO,8,Colorado,OH,39,Ohio,712
KY,21,Kentucky,CO,8,Colorado,713
CO,8,Colorado,AZ,4,Arizona,714
OK,40,Oklahoma,CO,8,Colorado,715
TX,48,Texas,CO,8,Colorado,716
CO,8,Colorado,TX,48,Texas,717
CO,8,Colorado,CT,9,Connecticut,718
CO,8,Colorado,MI,26,Michigan,719
CO,8,Colorado,FL,12,Florida,720
CO,8,Colorado,NY,36,New York,721
CO,8,Colorado,WI,55,Wisconsin,722
CO,8,Colorado,MN,27,Minnesota,723
CO,8,Colorado,WA,53,Washington,724
CO,8,Colorado,OK,40,Oklahoma,725
OR,41,Oregon,CO,8,Colorado,726
LA,22,Louisiana,CO,8,Colorado,727
UT,49,Utah,CO,8,Colorado,728
CO,8,Colorado,WA,53,Washington,729
CO,8,Colorado,TX,48,Texas,730
CO,8,Colorado,CA,6,California,731
CO,8,Colorado,OK,40,Oklahoma,732
CO,8,Colorado,AZ,4,Arizona,733
CO,8,Colorado,CA,6,California,734
NV,32,Nevada,CO,8,Colorado,735
MO,29,Missouri,CO,8,Colorado,736
NC,37,North Carolina,CO,8,Colorado,737
TN,47,Tennessee,CO,8,Colorado,738
CO,8,Colorado,CA,6,California,739
CA,6,California,CO,8,Colorado,740
CO,8,Colorado,CA,6,California,741
CO,8,Colorado,CO,8,Colorado,742
CO,8,Colorado,CO,8,Colorado,743
CO,8,Colorado,CO,8,Colorado,744
AZ,4,Arizona,CO,8,Colorado,745
CO,8,Colorado,AZ,4,Arizona,746
CO,8,Colorado,NV,32,Nevada,747
CO,8,Colorado,CA,6,California,748
NV,32,Nevada,CO,8,Colorado,749
CA,6,California,CO,8,Colorado,750
MO,29,Missouri,CO,8,Colorado,751
CO,8,Colorado,MO,29,Missouri,752
CO,8,Colorado,IA,19,Iowa,753
CO,8,Colorado,MT,30,Montana,754
CO,8,Colorado,OK,40,Oklahoma,755
CO,8,Colorado,OK,40,Oklahoma,756
MT,30,Montana,CO,8,Colorado,757
CO,8,Colorado,CO,8,Colorado,758
OR,41,Oregon,CO,8,Colorado,759
MD,24,Maryland,CO,8,Colorado,760
CO,8,Colorado,IN,18,Indiana,761
CO,8,Colorado,OR,41,Oregon,762
MI,26,Michigan,CO,8,Colorado,763
OR,41,Oregon,CO,8,Colorado,764
IN,18,Indiana,CO,8,Colorado,765
WI,55,Wisconsin,CO,8,Colorado,766
CO,8,Colorado,GA,13,Georgia,767
CO,8,Colorado,CT,9,Connecticut,768
IN,18,Indiana,CO,8,Colorado,769
MN,27,Minnesota,CO,8,Colorado,770
TX,48,Texas,CO,8,Colorado,771
CO,8,Colorado,VA,51,Virginia,772
KY,21,Kentucky,CO,8,Colorado,773
OH,39,Ohio,CO,8,Colorado,774
CO,8,Colorado,CA,6,California,775
CO,8,Colorado,OH,39,Ohio,776
CO,8,Colorado,AZ,4,Arizona,777
MO,29,Missouri,CO,8,Colorado,778
CT,9,Connecticut,CO,8,Colorado,779
CO,8,Colorado,MD,24,Maryland,780
CO,8,Colorado,IA,19,Iowa,781
CO,8,Colorado,SD,46,South Dakota,782
CO,8,Colorado,CA,6,California,783
IA,19,Iowa,CO,8,Colorado,784
VA,51,Virginia,CO,8,Colorado,785
LA,22,Louisiana,CO,8,Colorado,786
CA,6,California,CO,8,Colorado,787
CA,6,California,CO,8,Colorado,788
CO,8,Colorado,OH,39,Ohio,789
CO,8,Colorado,NV,32,Nevada,790
CO,8,Colorado,MN,27,Minnesota,791
CO,8,Colorado,KY,21,Kentucky,792
OK,40,Oklahoma,CO,8,Colorado,793
KY,21,Kentucky,CO,8,Colorado,794
CA,6,California,CO,8,Colorado,795
TX,48,Texas,CO,8,Colorado,796
VA,51,Virginia,CO,8,Colorado,797
CO,8,Colorado,IA,19,Iowa,798
IA,19,Iowa,CO,8,Colorado,799
CO,8,Colorado,TN,47,Tennessee,800
TN,47,Tennessee,CO,8,Colorado,801
CO,8,Colorado,OK,40,Oklahoma,802
OK,40,Oklahoma,CO,8,Colorado,803
CO,8,Colorado,CO,8,Colorado,804
CO,8,Colorado,CO,8,Colorado,805
CO,8,Colorado,AZ,4,Arizona,806
AZ,4,Arizona,CO,8,Colorado,807
CO,8,Colorado,NY,36,New York,808
OK,40,Oklahoma,CO,8,Colorado,809
MD,24,Maryland,CO,8,Colorado,810
CO,8,Colorado,OR,41,Oregon,811
CO,8,Colorado,VA,51,Virginia,812
CO,8,Colorado,LA,22,Louisiana,813
CO,8,Colorado,NE,31,Nebraska,814
CO,8,Colorado,CA,6,California,815
CO,8,Colorado,CA,6,California,816
SD,46,South Dakota,CO,8,Colorado,817
CO,8,Colorado,VA,51,Virginia,818
CA,6,California,CO,8,Colorado,819
MO,29,Missouri,CO,8,Colorado,820
AZ,4,Arizona,CO,8,Colorado,821
CO,8,Colorado,CA,6,California,822
CA,6,California,CO,8,Colorado,823
CO,8,Colorado,MI,26,Michigan,824
CO,8,Colorado,NY,36,New York,825
NY,36,New York,CO,8,Colorado,826
CO,8,Colorado,TX,48,Texas,827
TX,48,Texas,CO,8,Colorado,828
CO,8,Colorado,OR,41,Oregon,829
CO,8,Colorado,MN,27,Minnesota,830
CO,8,Colorado,NC,37,North Carolina,831
CO,8,Colorado,WA,53,Washington,832
TX,48,Texas,CO,8,Colorado,833
WI,55,Wisconsin,CO,8,Colorado,834
MN,27,Minnesota,CO,8,Colorado,835
CA,6,California,CO,8,Colorado,836
CO,8,Colorado,TN,47,Tennessee,837
CA,6,California,CO,8,Colorado,838
MO,29,Missouri,CO,8,Colorado,839
KY,21,Kentucky,CO,8,Colorado,840
CO,8,Colorado,KY,21,Kentucky,841
NY,36,New York,CO,8,Colorado,842
CO,8,Colorado,UT,49,Utah,843
IL,17,Illinois,CO,8,Colorado,844
CO,8,Colorado,MT,30,Montana,845
CO,8,Colorado,IA,19,Iowa,846
CO,8,Colorado,WI,55,Wisconsin,847
CO,8,Colorado,NE,31,Nebraska,848
CO,8,Colorado,CA,6,California,849
CO,8,Colorado,FL,12,Florida,850
FL,12,Florida,CO,8,Colorado,851
NC,37,North Carolina,CO,8,Colorado,852
CA,6,California,CO,8,Colorado,853
MT,30,Montana,CO,8,Colorado,854
IA,19,Iowa,CO,8,Colorado,855
CO,8,Colorado,MT,30,Montana,856
CO,8,Colorado,IA,19,Iowa,857
CO,8,Colorado,NC,37,North Carolina,858
CO,8,Colorado,WA,53,Washington,859
NC,37,North Carolina,CO,8,Colorado,860
WA,53,Washington,CO,8,Colorado,861
CA,6,California,CO,8,Colorado,862
IA,19,Iowa,CO,8,Colorado,863
MT,30,Montana,CO,8,Colorado,864
CO,8,Colorado,TX,48,Texas,865
CO,8,Colorado,CA,6,California,866
IA,19,Iowa,CO,8,Colorado,867
TX,48,Texas,CO,8,Colorado,868
NE,31,Nebraska,CO,8,Colorado,869
CA,6,California,CO,8,Colorado,870
CA,6,California,CO,8,Colorado,871
TX,48,Texas,CO,8,Colorado,872
FL,12,Florida,CO,8,Colorado,873
TN,47,Tennessee,CO,8,Colorado,874
CO,8,Colorado,TN,47,Tennessee,875
CO,8,Colorado,WA,53,Washington,876
OR,41,Oregon,CO,8,Colorado,877
WA,53,Washington,CO,8,Colorado,878
NM,35,New Mexico,CO,8,Colorado,879
CO,8,Colorado,PA,42,Pennsylvania,880
NE,31,Nebraska,CO,8,Colorado,881
PA,42,Pennsylvania,CO,8,Colorado,882
IA,19,Iowa,CO,8,Colorado,883
CO,8,Colorado,WI,55,Wisconsin,884
WI,55,Wisconsin,CO,8,Colorado,885
CO,8,Colorado,TN,47,Tennessee,886
CO,8,Colorado,MT,30,Montana,887
CO,8,Colorado,AR,5,Arkansas,888
AR,5,Arkansas,CO,8,Colorado,889
CO,8,Colorado,WA,53,Washington,890
WA,53,Washington,CO,8,Colorado,891
MI,26,Michigan,CO,8,Colorado,892
CO,8,Colorado,IL,17,Illinois,893
CO,8,Colorado,NM,35,New Mexico,894
NV,32,Nevada,CO,8,Colorado,895
NY,36,New York,CO,8,Colorado,896
WA,53,Washington,CO,8,Colorado,897
CA,6,California,CO,8,Colorado,898
TN,47,Tennessee,CO,8,Colorado,899
TN,47,Tennessee,CO,8,Colorado,900
CO,8,Colorado,TN,47,Tennessee,901
CO,8,Colorado,MT,30,Montana,902
CO,8,Colorado,TN,47,Tennessee,903
MT,30,Montana,CO,8,Colorado,904
TN,47,Tennessee,CO,8,Colorado,905
CO,8,Colorado,CA,6,California,906
CO,8,Colorado,TN,47,Tennessee,907
TN,47,Tennessee,CO,8,Colorado,908
TN,47,Tennessee,CO,8,Colorado,909
TN,47,Tennessee,CO,8,Colorado,910
MT,30,Montana,CO,8,Colorado,911
AR,5,Arkansas,CO,8,Colorado,912
CO,8,Colorado,AZ,4,Arizona,913
AZ,4,Arizona,CO,8,Colorado,914
CO,8,Colorado,MN,27,Minnesota,915
MI,26,Michigan,CO,8,Colorado,916
OK,40,Oklahoma,CO,8,Colorado,917
NM,35,New Mexico,CO,8,Colorado,918
CO,8,Colorado,MO,29,Missouri,919
CO,8,Colorado,CA,6,California,920
TX,48,Texas,CO,8,Colorado,921
CA,6,California,CO,8,Colorado,922
OH,39,Ohio,CO,8,Colorado,923
CO,8,Colorado,NM,35,New Mexico,924
CO,8,Colorado,OH,39,Ohio,925
CO,8,Colorado,IN,18,Indiana,926
CO,8,Colorado,NV,32,Nevada,927
OR,41,Oregon,CO,8,Colorado,928
LA,22,Louisiana,CO,8,Colorado,929
PA,42,Pennsylvania,CO,8,Colorado,930
CA,6,California,CO,8,Colorado,931
CO,8,Colorado,TX,48,Texas,932
CO,8,Colorado,OR,41,Oregon,933
CO,8,Colorado,WA,53,Washington,934
OR,41,Oregon,CO,8,Colorado,935
WA,53,Washington,CO,8,Colorado,936
CO,8,Colorado,IL,17,Illinois,937
CO,8,Colorado,TX,48,Texas,938
CO,8,Colorado,OR,41,Oregon,939
CO,8,Colorado,AR,5,Arkansas,940
OR,41,Oregon,CO,8,Colorado,941
KS,20,Kansas,CO,8,Colorado,942
NM,35,New Mexico,CO,8,Colorado,943
CO,8,Colorado,MD,24,Maryland,944
CO,8,Colorado,OH,39,Ohio,945
CO,8,Colorado,TX,48,Texas,946
CO,8,Colorado,PA,42,Pennsylvania,947
CO,8,Colorado,CA,6,California,948
CO,8,Colorado,CA,6,California,949
CO,8,Colorado,UT,49,Utah,950
CO,8,Colorado,MO,29,Missouri,951
UT,49,Utah,CO,8,Colorado,952
FL,12,Florida,CO,8,Colorado,953
CO,8,Colorado,NV,32,Nevada,954
CO,8,Colorado,OK,40,Oklahoma,955
CO,8,Colorado,CO,8,Colorado,956
CO,8,Colorado,CO,8,Colorado,957
IA,19,Iowa,CO,8,Colorado,958
MT,30,Montana,CO,8,Colorado,959
CO,8,Colorado,MT,30,Montana,960
CO,8,Colorado,CA,6,California,961
CA,6,California,CO,8,Colorado,962
IL,17,Illinois,CO,8,Colorado,963
CO,8,Colorado,KS,20,Kansas,964
CO,8,Colorado,KY,21,Kentucky,965
SD,46,South Dakota,CO,8,Colorado,966
CT,9,Connecticut,CO,8,Colorado,967
MT,30,Montana,CO,8,Colorado,968
CO,8,Colorado,MT,30,Montana,969
CO,8,Colorado,OR,41,Oregon,970
